[2025-06-21T10:18:06.368+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  10%|#         | 50/491 [00:14<01:05,  6.78it/s]
[2025-06-21T10:18:06.537+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  10%|#         | 51/491 [00:14<01:07,  6.50it/s]
[2025-06-21T10:18:06.685+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  11%|#         | 52/491 [00:14<01:06,  6.58it/s]
[2025-06-21T10:18:06.819+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  11%|#         | 53/491 [00:14<01:04,  6.82it/s]
[2025-06-21T10:18:06.950+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  11%|#         | 54/491 [00:14<01:01,  7.05it/s]
[2025-06-21T10:18:07.090+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  11%|#1        | 55/491 [00:14<01:01,  7.08it/s]
[2025-06-21T10:18:07.221+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  11%|#1        | 56/491 [00:14<01:00,  7.23it/s]
[2025-06-21T10:18:07.362+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  12%|#1        | 57/491 [00:15<01:00,  7.19it/s]
[2025-06-21T10:18:07.500+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  12%|#1        | 58/491 [00:15<01:00,  7.21it/s]
[2025-06-21T10:18:07.629+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  12%|#2        | 59/491 [00:15<00:58,  7.36it/s]
[2025-06-21T10:18:07.756+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  12%|#2        | 60/491 [00:15<00:57,  7.50it/s]
[2025-06-21T10:18:07.883+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  12%|#2        | 61/491 [00:15<00:56,  7.62it/s]
[2025-06-21T10:18:08.027+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  13%|#2        | 62/491 [00:15<00:57,  7.40it/s]
[2025-06-21T10:18:08.272+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  13%|#2        | 63/491 [00:15<01:12,  5.94it/s]
[2025-06-21T10:18:08.413+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  13%|#3        | 64/491 [00:16<01:08,  6.25it/s]
[2025-06-21T10:18:08.549+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  13%|#3        | 65/491 [00:16<01:05,  6.54it/s]
[2025-06-21T10:18:08.688+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  13%|#3        | 66/491 [00:16<01:03,  6.73it/s]
[2025-06-21T10:18:08.829+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  14%|#3        | 67/491 [00:16<01:02,  6.83it/s]
[2025-06-21T10:18:08.973+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  14%|#3        | 68/491 [00:16<01:01,  6.86it/s]
[2025-06-21T10:18:09.121+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  14%|#4        | 69/491 [00:16<01:01,  6.84it/s]
[2025-06-21T10:18:09.263+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  14%|#4        | 70/491 [00:16<01:01,  6.90it/s]
[2025-06-21T10:18:09.408+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  14%|#4        | 71/491 [00:17<01:00,  6.90it/s]
[2025-06-21T10:18:09.548+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  15%|#4        | 72/491 [00:17<01:00,  6.96it/s]
[2025-06-21T10:18:09.722+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  15%|#4        | 73/491 [00:17<01:03,  6.56it/s]
[2025-06-21T10:18:09.871+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  15%|#5        | 74/491 [00:17<01:03,  6.60it/s]
[2025-06-21T10:18:10.019+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  15%|#5        | 75/491 [00:17<01:02,  6.64it/s]
[2025-06-21T10:18:10.151+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  15%|#5        | 76/491 [00:17<01:00,  6.90it/s]
[2025-06-21T10:18:10.285+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  16%|#5        | 77/491 [00:17<00:58,  7.06it/s]
[2025-06-21T10:18:10.411+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  16%|#5        | 78/491 [00:18<00:56,  7.30it/s]
[2025-06-21T10:18:10.540+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  16%|#6        | 79/491 [00:18<00:55,  7.42it/s]
[2025-06-21T10:18:10.667+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  16%|#6        | 80/491 [00:18<00:54,  7.55it/s]
[2025-06-21T10:18:10.791+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  16%|#6        | 81/491 [00:18<00:53,  7.70it/s]
[2025-06-21T10:18:10.923+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  17%|#6        | 82/491 [00:18<00:53,  7.66it/s]
[2025-06-21T10:18:11.063+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  17%|#6        | 83/491 [00:18<00:54,  7.51it/s]
[2025-06-21T10:18:11.192+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  17%|#7        | 84/491 [00:18<00:53,  7.57it/s]
[2025-06-21T10:18:11.314+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  17%|#7        | 85/491 [00:19<00:52,  7.75it/s]
[2025-06-21T10:18:11.464+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  18%|#7        | 86/491 [00:19<00:54,  7.39it/s]
[2025-06-21T10:18:11.598+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  18%|#7        | 87/491 [00:19<00:54,  7.42it/s]
[2025-06-21T10:18:11.727+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  18%|#7        | 88/491 [00:19<00:53,  7.51it/s]
[2025-06-21T10:18:11.852+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  18%|#8        | 89/491 [00:19<00:52,  7.65it/s]
[2025-06-21T10:18:11.974+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  18%|#8        | 90/491 [00:19<00:51,  7.81it/s]
[2025-06-21T10:18:12.100+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  19%|#8        | 91/491 [00:19<00:51,  7.84it/s]
[2025-06-21T10:18:12.222+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  19%|#8        | 92/491 [00:19<00:50,  7.95it/s]
[2025-06-21T10:18:12.345+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  19%|#8        | 93/491 [00:20<00:49,  8.00it/s]
[2025-06-21T10:18:12.483+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  19%|#9        | 94/491 [00:20<00:51,  7.76it/s]
[2025-06-21T10:18:12.632+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  19%|#9        | 95/491 [00:20<00:53,  7.41it/s]
[2025-06-21T10:18:12.768+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  20%|#9        | 96/491 [00:20<00:53,  7.40it/s]
[2025-06-21T10:18:12.898+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  20%|#9        | 97/491 [00:20<00:52,  7.48it/s]
[2025-06-21T10:18:13.023+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  20%|#9        | 98/491 [00:20<00:51,  7.63it/s]
[2025-06-21T10:18:13.147+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  20%|##        | 99/491 [00:20<00:50,  7.75it/s]
[2025-06-21T10:18:13.270+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  20%|##        | 100/491 [00:20<00:49,  7.87it/s]
[2025-06-21T10:18:13.414+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  21%|##        | 101/491 [00:21<00:51,  7.57it/s]
[2025-06-21T10:18:13.666+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  21%|##        | 102/491 [00:21<01:05,  5.95it/s]
[2025-06-21T10:18:13.912+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  21%|##        | 103/491 [00:21<01:14,  5.22it/s]
[2025-06-21T10:18:14.053+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  21%|##1       | 104/491 [00:21<01:08,  5.67it/s]
[2025-06-21T10:18:14.193+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  21%|##1       | 105/491 [00:21<01:03,  6.04it/s]
[2025-06-21T10:18:14.322+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  22%|##1       | 106/491 [00:22<00:59,  6.48it/s]
[2025-06-21T10:18:14.453+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  22%|##1       | 107/491 [00:22<00:56,  6.78it/s]
[2025-06-21T10:18:14.580+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  22%|##1       | 108/491 [00:22<00:54,  7.07it/s]
[2025-06-21T10:18:14.723+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  22%|##2       | 109/491 [00:22<00:54,  7.05it/s]
[2025-06-21T10:18:14.857+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  22%|##2       | 110/491 [00:22<00:53,  7.17it/s]
[2025-06-21T10:18:14.986+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  23%|##2       | 111/491 [00:22<00:51,  7.35it/s]
[2025-06-21T10:18:15.109+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  23%|##2       | 112/491 [00:22<00:50,  7.55it/s]
[2025-06-21T10:18:15.234+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  23%|##3       | 113/491 [00:22<00:49,  7.68it/s]
[2025-06-21T10:18:15.365+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  23%|##3       | 114/491 [00:23<00:49,  7.68it/s]
[2025-06-21T10:18:15.490+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  23%|##3       | 115/491 [00:23<00:48,  7.76it/s]
[2025-06-21T10:18:15.614+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  24%|##3       | 116/491 [00:23<00:47,  7.85it/s]
[2025-06-21T10:18:15.745+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  24%|##3       | 117/491 [00:23<00:48,  7.79it/s]
[2025-06-21T10:18:15.883+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  24%|##4       | 118/491 [00:23<00:48,  7.62it/s]
[2025-06-21T10:18:16.027+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  24%|##4       | 119/491 [00:23<00:50,  7.40it/s]
[2025-06-21T10:18:16.189+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  24%|##4       | 120/491 [00:23<00:53,  6.99it/s]
[2025-06-21T10:18:16.368+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  25%|##4       | 121/491 [00:24<00:56,  6.50it/s]
[2025-06-21T10:18:16.541+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  25%|##4       | 122/491 [00:24<00:58,  6.26it/s]
[2025-06-21T10:18:16.727+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  25%|##5       | 123/491 [00:24<01:01,  5.96it/s]
[2025-06-21T10:18:16.891+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  25%|##5       | 124/491 [00:24<01:01,  6.00it/s]
[2025-06-21T10:18:17.069+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  25%|##5       | 125/491 [00:24<01:02,  5.88it/s]
[2025-06-21T10:18:17.193+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  26%|##5       | 126/491 [00:24<00:56,  6.41it/s]
[2025-06-21T10:18:17.317+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  26%|##5       | 127/491 [00:25<00:53,  6.82it/s]
[2025-06-21T10:18:17.452+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  26%|##6       | 128/491 [00:25<00:51,  7.00it/s]
[2025-06-21T10:18:17.582+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  26%|##6       | 129/491 [00:25<00:50,  7.19it/s]
[2025-06-21T10:18:17.707+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  26%|##6       | 130/491 [00:25<00:48,  7.41it/s]
[2025-06-21T10:18:17.830+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  27%|##6       | 131/491 [00:25<00:47,  7.62it/s]
[2025-06-21T10:18:17.974+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  27%|##6       | 132/491 [00:25<00:48,  7.41it/s]
[2025-06-21T10:18:18.104+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  27%|##7       | 133/491 [00:25<00:47,  7.48it/s]
[2025-06-21T10:18:18.240+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  27%|##7       | 134/491 [00:25<00:47,  7.45it/s]
[2025-06-21T10:18:18.366+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  27%|##7       | 135/491 [00:26<00:46,  7.59it/s]
[2025-06-21T10:18:18.494+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  28%|##7       | 136/491 [00:26<00:46,  7.66it/s]
[2025-06-21T10:18:18.618+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  28%|##7       | 137/491 [00:26<00:45,  7.76it/s]
[2025-06-21T10:18:18.745+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  28%|##8       | 138/491 [00:26<00:45,  7.80it/s]
[2025-06-21T10:18:18.870+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  28%|##8       | 139/491 [00:26<00:44,  7.86it/s]
[2025-06-21T10:18:18.997+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  29%|##8       | 140/491 [00:26<00:44,  7.87it/s]
[2025-06-21T10:18:19.118+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  29%|##8       | 141/491 [00:26<00:43,  7.97it/s]
[2025-06-21T10:18:19.243+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  29%|##8       | 142/491 [00:26<00:43,  8.00it/s]
[2025-06-21T10:18:19.379+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  29%|##9       | 143/491 [00:27<00:44,  7.78it/s]
[2025-06-21T10:18:19.521+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  29%|##9       | 144/491 [00:27<00:45,  7.55it/s]
[2025-06-21T10:18:19.663+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  30%|##9       | 145/491 [00:27<00:46,  7.38it/s]
[2025-06-21T10:18:19.789+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  30%|##9       | 146/491 [00:27<00:45,  7.55it/s]
[2025-06-21T10:18:19.913+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  30%|##9       | 147/491 [00:27<00:44,  7.69it/s]
[2025-06-21T10:18:20.054+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  30%|###       | 148/491 [00:27<00:45,  7.50it/s]
[2025-06-21T10:18:20.182+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  30%|###       | 149/491 [00:27<00:44,  7.60it/s]
[2025-06-21T10:18:20.316+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  31%|###       | 150/491 [00:28<00:45,  7.55it/s]
[2025-06-21T10:18:20.456+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  31%|###       | 151/491 [00:28<00:45,  7.42it/s]
[2025-06-21T10:18:20.594+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  31%|###       | 152/491 [00:28<00:45,  7.38it/s]
[2025-06-21T10:18:20.728+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  31%|###1      | 153/491 [00:28<00:45,  7.40it/s]
[2025-06-21T10:18:20.851+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  31%|###1      | 154/491 [00:28<00:44,  7.60it/s]
[2025-06-21T10:18:20.986+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  32%|###1      | 155/491 [00:28<00:44,  7.55it/s]
[2025-06-21T10:18:21.126+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  32%|###1      | 156/491 [00:28<00:45,  7.41it/s]
[2025-06-21T10:18:21.256+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  32%|###1      | 157/491 [00:28<00:44,  7.50it/s]
[2025-06-21T10:18:21.406+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  32%|###2      | 158/491 [00:29<00:46,  7.23it/s]
[2025-06-21T10:18:21.536+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  32%|###2      | 159/491 [00:29<00:45,  7.36it/s]
[2025-06-21T10:18:21.680+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  33%|###2      | 160/491 [00:29<00:45,  7.23it/s]
[2025-06-21T10:18:21.812+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  33%|###2      | 161/491 [00:29<00:45,  7.33it/s]
[2025-06-21T10:18:21.949+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  33%|###2      | 162/491 [00:29<00:44,  7.32it/s]
[2025-06-21T10:18:22.078+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  33%|###3      | 163/491 [00:29<00:44,  7.44it/s]
[2025-06-21T10:18:22.208+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  33%|###3      | 164/491 [00:29<00:43,  7.53it/s]
[2025-06-21T10:18:22.332+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  34%|###3      | 165/491 [00:30<00:42,  7.67it/s]
[2025-06-21T10:18:22.454+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  34%|###3      | 166/491 [00:30<00:41,  7.82it/s]
[2025-06-21T10:18:22.582+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  34%|###4      | 167/491 [00:30<00:41,  7.82it/s]
[2025-06-21T10:18:22.709+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  34%|###4      | 168/491 [00:30<00:41,  7.84it/s]
[2025-06-21T10:18:22.835+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  34%|###4      | 169/491 [00:30<00:40,  7.87it/s]
[2025-06-21T10:18:22.962+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  35%|###4      | 170/491 [00:30<00:40,  7.86it/s]
[2025-06-21T10:18:23.085+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  35%|###4      | 171/491 [00:30<00:40,  7.95it/s]
[2025-06-21T10:18:23.208+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  35%|###5      | 172/491 [00:30<00:39,  8.00it/s]
[2025-06-21T10:18:23.329+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  35%|###5      | 173/491 [00:31<00:39,  8.07it/s]
[2025-06-21T10:18:23.501+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  35%|###5      | 174/491 [00:31<00:43,  7.24it/s]
[2025-06-21T10:18:23.728+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  36%|###5      | 175/491 [00:31<00:52,  6.07it/s]
[2025-06-21T10:18:23.935+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  36%|###5      | 176/491 [00:31<00:55,  5.64it/s]
[2025-06-21T10:18:24.077+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  36%|###6      | 177/491 [00:31<00:52,  5.99it/s]
[2025-06-21T10:18:24.216+0000] {logging_mixin.py:149} WARNING - Permutation explainer:  36%|###6      | 178/491 [00:31<00:49,  6.30it/s]
